winchrom	winstart	winend
SM_V7_ZW	400001	410000
SM_V7_ZW	410001	420000
SM_V7_ZW	420001	430000
SM_V7_ZW	900001	910000
SM_V7_ZW	910001	920000
SM_V7_ZW	920001	930000
SM_V7_ZW	2140001	2150000
SM_V7_ZW	2150001	2160000
SM_V7_ZW	2160001	2170000
SM_V7_ZW	2360001	2370000
SM_V7_ZW	2370001	2380000
SM_V7_ZW	2380001	2390000
SM_V7_ZW	2400001	2410000
SM_V7_ZW	2410001	2420000
SM_V7_ZW	2420001	2430000
SM_V7_ZW	5140001	5150000
SM_V7_ZW	5150001	5160000
SM_V7_ZW	5160001	5170000
SM_V7_ZW	5920001	5930000
SM_V7_ZW	5930001	5940000
SM_V7_ZW	6020001	6030000
SM_V7_ZW	6030001	6040000
SM_V7_ZW	6380001	6390000
SM_V7_ZW	6390001	6400000
SM_V7_ZW	6400001	6410000
SM_V7_ZW	6790001	6800000
SM_V7_ZW	6800001	6810000
SM_V7_ZW	6810001	6820000
SM_V7_ZW	6820001	6830000
SM_V7_ZW	7330001	7340000
SM_V7_ZW	7340001	7350000
SM_V7_ZW	7350001	7360000
SM_V7_ZW	7410001	7420000
SM_V7_ZW	7420001	7430000
SM_V7_ZW	7430001	7440000
SM_V7_ZW	7440001	7450000
SM_V7_ZW	7470001	7480000
SM_V7_ZW	7480001	7490000
SM_V7_ZW	7490001	7500000
SM_V7_ZW	7500001	7510000
SM_V7_ZW	7540001	7550000
SM_V7_ZW	7550001	7560000
SM_V7_ZW	7560001	7570000
SM_V7_ZW	8010001	8020000
SM_V7_ZW	8020001	8030000
SM_V7_ZW	8030001	8040000
SM_V7_ZW	8270001	8280000
SM_V7_ZW	8280001	8290000
SM_V7_ZW	8290001	8300000
SM_V7_ZW	8300001	8310000
SM_V7_ZW	8310001	8320000
SM_V7_ZW	9140001	9150000
SM_V7_ZW	9150001	9160000
SM_V7_ZW	9160001	9170000
SM_V7_ZW	9170001	9180000
SM_V7_ZW	9300001	9310000
SM_V7_ZW	9310001	9320000
SM_V7_ZW	9320001	9330000
SM_V7_ZW	10720001	10730000
SM_V7_ZW	10730001	10740000
SM_V7_ZW	10740001	10750000
SM_V7_ZW	10750001	10760000
SM_V7_ZW	10760001	10770000
SM_V7_ZW	11000001	11010000
SM_V7_ZW	11010001	11020000
SM_V7_ZW	11020001	11030000
SM_V7_ZW	11130001	11140000
SM_V7_ZW	11140001	11150000
SM_V7_ZW	11150001	11160000
SM_V7_ZW	11530001	11540000
SM_V7_ZW	11540001	11550000
SM_V7_ZW	11550001	11560000
SM_V7_ZW	11700001	11710000
SM_V7_ZW	11710001	11720000
SM_V7_ZW	11720001	11730000
SM_V7_ZW	11730001	11740000
SM_V7_ZW	11740001	11750000
SM_V7_ZW	11750001	11760000
SM_V7_ZW	11800001	11810000
SM_V7_ZW	11810001	11820000
SM_V7_ZW	11820001	11830000
SM_V7_ZW	11830001	11840000
SM_V7_ZW	12000001	12010000
SM_V7_ZW	12010001	12020000
SM_V7_ZW	12020001	12030000
SM_V7_ZW	12030001	12040000
SM_V7_ZW	12040001	12050000
SM_V7_ZW	12130001	12140000
SM_V7_ZW	12140001	12150000
SM_V7_ZW	12150001	12160000
SM_V7_ZW	12900001	12910000
SM_V7_ZW	12910001	12920000
SM_V7_ZW	12920001	12930000
SM_V7_ZW	12930001	12940000
SM_V7_ZW	12940001	12950000
SM_V7_ZW	13300001	13310000
SM_V7_ZW	13310001	13320000
SM_V7_ZW	13320001	13330000
SM_V7_ZW	13350001	13360000
SM_V7_ZW	13360001	13370000
SM_V7_ZW	13370001	13380000
SM_V7_ZW	13380001	13390000
SM_V7_ZW	13470001	13480000
SM_V7_ZW	13480001	13490000
SM_V7_ZW	13490001	13500000
SM_V7_ZW	15250001	15260000
SM_V7_ZW	15260001	15270000
SM_V7_ZW	15270001	15280000
SM_V7_ZW	15300001	15310000
SM_V7_ZW	15310001	15320000
SM_V7_ZW	15320001	15330000
SM_V7_ZW	15330001	15340000
SM_V7_ZW	17210001	17220000
SM_V7_ZW	17220001	17230000
SM_V7_ZW	17230001	17240000
SM_V7_ZW	17640001	17650000
SM_V7_ZW	17650001	17660000
SM_V7_ZW	17660001	17670000
SM_V7_ZW	18710001	18720000
SM_V7_ZW	18720001	18730000
SM_V7_ZW	18730001	18740000
SM_V7_ZW	20420001	20430000
SM_V7_ZW	20430001	20440000
SM_V7_ZW	20440001	20450000
SM_V7_ZW	20660001	20670000
SM_V7_ZW	20670001	20680000
SM_V7_ZW	20680001	20690000
SM_V7_ZW	20690001	20700000
SM_V7_ZW	20700001	20710000
SM_V7_ZW	20710001	20720000
SM_V7_ZW	20720001	20730000
SM_V7_ZW	20770001	20780000
SM_V7_ZW	20780001	20790000
SM_V7_ZW	20790001	20800000
SM_V7_ZW	20970001	20980000
SM_V7_ZW	20980001	20990000
SM_V7_ZW	20990001	21000000
SM_V7_ZW	21870001	21880000
SM_V7_ZW	21880001	21890000
SM_V7_ZW	21890001	21900000
SM_V7_ZW	22230001	22240000
SM_V7_ZW	22240001	22250000
SM_V7_ZW	22250001	22260000
SM_V7_ZW	22670001	22680000
SM_V7_ZW	22680001	22690000
SM_V7_ZW	22690001	22700000
SM_V7_ZW	23070001	23080000
SM_V7_ZW	23080001	23090000
SM_V7_ZW	23090001	23100000
SM_V7_ZW	24060001	24070000
SM_V7_ZW	24070001	24080000
SM_V7_ZW	24080001	24090000
SM_V7_ZW	24490001	24500000
SM_V7_ZW	24500001	24510000
SM_V7_ZW	24510001	24520000
SM_V7_ZW	24520001	24530000
SM_V7_ZW	24540001	24550000
SM_V7_ZW	24550001	24560000
SM_V7_ZW	24560001	24570000
SM_V7_ZW	24980001	24990000
SM_V7_ZW	24990001	25000000
SM_V7_ZW	25000001	25010000
SM_V7_ZW	25820001	25830000
SM_V7_ZW	25830001	25840000
SM_V7_ZW	25840001	25850000
SM_V7_ZW	25850001	25860000
SM_V7_ZW	26090001	26100000
SM_V7_ZW	26100001	26110000
SM_V7_ZW	26110001	26120000
SM_V7_ZW	26120001	26130000
SM_V7_ZW	26470001	26480000
SM_V7_ZW	26480001	26490000
SM_V7_ZW	26490001	26500000
SM_V7_ZW	27330001	27340000
SM_V7_ZW	27340001	27350000
SM_V7_ZW	27350001	27360000
SM_V7_ZW	27360001	27370000
SM_V7_ZW	27370001	27380000
SM_V7_ZW	27380001	27390000
SM_V7_ZW	27390001	27400000
SM_V7_ZW	27400001	27410000
SM_V7_ZW	27410001	27420000
SM_V7_ZW	27420001	27430000
SM_V7_ZW	27430001	27440000
SM_V7_ZW	29290001	29300000
SM_V7_ZW	29300001	29310000
SM_V7_ZW	29310001	29320000
SM_V7_ZW	29410001	29420000
SM_V7_ZW	29420001	29430000
SM_V7_ZW	29430001	29440000
SM_V7_ZW	29600001	29610000
SM_V7_ZW	29610001	29620000
SM_V7_ZW	29620001	29630000
SM_V7_ZW	29650001	29660000
SM_V7_ZW	29660001	29670000
SM_V7_ZW	29670001	29680000
SM_V7_ZW	29760001	29770000
SM_V7_ZW	29770001	29780000
SM_V7_ZW	29780001	29790000
SM_V7_ZW	30030001	30040000
SM_V7_ZW	30040001	30050000
SM_V7_ZW	30050001	30060000
SM_V7_ZW	30370001	30380000
SM_V7_ZW	30380001	30390000
SM_V7_ZW	30390001	30400000
SM_V7_ZW	30600001	30610000
SM_V7_ZW	30610001	30620000
SM_V7_ZW	30620001	30630000
SM_V7_ZW	30970001	30980000
SM_V7_ZW	30980001	30990000
SM_V7_ZW	30990001	31000000
SM_V7_ZW	31000001	31010000
SM_V7_ZW	31010001	31020000
SM_V7_ZW	31020001	31030000
SM_V7_ZW	31190001	31200000
SM_V7_ZW	31200001	31210000
SM_V7_ZW	31210001	31220000
SM_V7_ZW	31450001	31460000
SM_V7_ZW	31460001	31470000
SM_V7_ZW	31470001	31480000
SM_V7_ZW	31680001	31690000
SM_V7_ZW	31690001	31700000
SM_V7_ZW	31700001	31710000
SM_V7_ZW	31710001	31720000
SM_V7_ZW	31720001	31730000
SM_V7_ZW	31730001	31740000
SM_V7_ZW	31740001	31750000
SM_V7_ZW	32370001	32380000
SM_V7_ZW	32380001	32390000
SM_V7_ZW	32390001	32400000
SM_V7_ZW	32670001	32680000
SM_V7_ZW	32680001	32690000
SM_V7_ZW	32690001	32700000
SM_V7_ZW	32700001	32710000
SM_V7_ZW	32710001	32720000
SM_V7_ZW	33290001	33300000
SM_V7_ZW	33300001	33310000
SM_V7_ZW	33310001	33320000
SM_V7_ZW	34120001	34130000
SM_V7_ZW	34130001	34140000
SM_V7_ZW	34140001	34150000
SM_V7_ZW	34380001	34390000
SM_V7_ZW	34390001	34400000
SM_V7_ZW	34400001	34410000
SM_V7_ZW	34520001	34530000
SM_V7_ZW	34530001	34540000
SM_V7_ZW	34540001	34550000
SM_V7_ZW	34730001	34740000
SM_V7_ZW	34740001	34750000
SM_V7_ZW	34750001	34760000
SM_V7_ZW	35060001	35070000
SM_V7_ZW	35070001	35080000
SM_V7_ZW	35080001	35090000
SM_V7_ZW	35090001	35100000
SM_V7_ZW	35640001	35650000
SM_V7_ZW	35650001	35660000
SM_V7_ZW	35660001	35670000
SM_V7_ZW	35670001	35680000
SM_V7_ZW	35680001	35690000
SM_V7_ZW	35690001	35700000
SM_V7_ZW	35700001	35710000
SM_V7_ZW	35760001	35770000
SM_V7_ZW	35770001	35780000
SM_V7_ZW	35780001	35790000
SM_V7_ZW	35790001	35800000
SM_V7_ZW	35800001	35810000
SM_V7_ZW	35810001	35820000
SM_V7_ZW	35820001	35830000
SM_V7_ZW	35830001	35840000
SM_V7_ZW	35840001	35850000
SM_V7_ZW	36810001	36820000
SM_V7_ZW	36820001	36830000
SM_V7_ZW	36830001	36840000
SM_V7_ZW	36840001	36850000
SM_V7_ZW	36970001	36980000
SM_V7_ZW	36980001	36990000
SM_V7_ZW	36990001	37000000
SM_V7_ZW	37040001	37050000
SM_V7_ZW	37050001	37060000
SM_V7_ZW	37060001	37070000
SM_V7_ZW	37070001	37080000
SM_V7_ZW	37080001	37090000
SM_V7_ZW	37120001	37130000
SM_V7_ZW	37130001	37140000
SM_V7_ZW	37140001	37150000
SM_V7_ZW	37620001	37630000
SM_V7_ZW	37630001	37640000
SM_V7_ZW	37640001	37650000
SM_V7_ZW	37700001	37710000
SM_V7_ZW	37710001	37720000
SM_V7_ZW	37720001	37730000
SM_V7_ZW	37730001	37740000
SM_V7_ZW	37740001	37750000
SM_V7_ZW	37750001	37760000
SM_V7_ZW	37760001	37770000
SM_V7_ZW	37770001	37780000
SM_V7_ZW	37780001	37790000
SM_V7_ZW	38130001	38140000
SM_V7_ZW	38140001	38150000
SM_V7_ZW	38150001	38160000
SM_V7_ZW	38900001	38910000
SM_V7_ZW	38910001	38920000
SM_V7_ZW	38920001	38930000
SM_V7_ZW	40930001	40940000
SM_V7_ZW	40940001	40950000
SM_V7_ZW	40950001	40960000
SM_V7_ZW	40960001	40970000
SM_V7_ZW	40970001	40980000
SM_V7_ZW	41580001	41590000
SM_V7_ZW	41590001	41600000
SM_V7_ZW	41600001	41610000
SM_V7_ZW	41610001	41620000
SM_V7_ZW	41620001	41630000
SM_V7_ZW	42740001	42750000
SM_V7_ZW	42750001	42760000
SM_V7_ZW	42760001	42770000
SM_V7_ZW	43870001	43880000
SM_V7_ZW	43880001	43890000
SM_V7_ZW	43890001	43900000
SM_V7_ZW	44190001	44200000
SM_V7_ZW	44200001	44210000
SM_V7_ZW	46010001	46020000
SM_V7_ZW	46020001	46030000
SM_V7_ZW	46030001	46040000
SM_V7_ZW	46340001	46350000
SM_V7_ZW	46350001	46360000
SM_V7_ZW	46360001	46370000
SM_V7_ZW	47550001	47560000
SM_V7_ZW	47560001	47570000
SM_V7_ZW	47570001	47580000
SM_V7_ZW	48030001	48040000
SM_V7_ZW	48040001	48050000
SM_V7_ZW	48050001	48060000
SM_V7_ZW	48780001	48790000
SM_V7_ZW	48790001	48800000
SM_V7_ZW	48800001	48810000
SM_V7_ZW	48810001	48820000
SM_V7_ZW	48820001	48830000
SM_V7_ZW	49150001	49160000
SM_V7_ZW	49160001	49170000
SM_V7_ZW	49170001	49180000
SM_V7_ZW	51430001	51440000
SM_V7_ZW	51440001	51450000
SM_V7_ZW	51450001	51460000
SM_V7_ZW	51460001	51470000
SM_V7_ZW	51620001	51630000
SM_V7_ZW	51630001	51640000
SM_V7_ZW	51640001	51650000
SM_V7_ZW	54880001	54890000
SM_V7_ZW	54890001	54900000
SM_V7_ZW	54900001	54910000
SM_V7_ZW	56120001	56130000
SM_V7_ZW	56130001	56140000
SM_V7_ZW	56140001	56150000
SM_V7_ZW	56460001	56470000
SM_V7_ZW	56470001	56480000
SM_V7_ZW	56480001	56490000
SM_V7_ZW	56870001	56880000
SM_V7_ZW	56880001	56890000
SM_V7_ZW	56890001	56900000
SM_V7_ZW	62320001	62330000
SM_V7_ZW	62330001	62340000
SM_V7_ZW	62340001	62350000
SM_V7_ZW	62860001	62870000
SM_V7_ZW	62870001	62880000
SM_V7_ZW	62880001	62890000
SM_V7_ZW	65730001	65740000
SM_V7_ZW	65740001	65750000
SM_V7_ZW	65750001	65760000
SM_V7_ZW	69540001	69550000
SM_V7_ZW	69550001	69560000
SM_V7_ZW	69560001	69570000
SM_V7_ZW	70390001	70400000
SM_V7_ZW	70400001	70410000
SM_V7_ZW	70410001	70420000
SM_V7_ZW	71780001	71790000
SM_V7_ZW	71790001	71800000
SM_V7_ZW	71800001	71810000
SM_V7_ZW	73690001	73700000
SM_V7_ZW	73700001	73710000
SM_V7_ZW	73710001	73720000
SM_V7_ZW	73720001	73730000
SM_V7_ZW	74110001	74120000
SM_V7_ZW	74120001	74130000
SM_V7_ZW	74130001	74140000
SM_V7_ZW	75880001	75890000
SM_V7_ZW	75890001	75900000
SM_V7_ZW	75900001	75910000
SM_V7_ZW	75910001	75920000
SM_V7_ZW	77070001	77080000
SM_V7_ZW	77080001	77090000
SM_V7_ZW	77090001	77100000
SM_V7_ZW	78830001	78840000
SM_V7_ZW	78840001	78850000
SM_V7_ZW	78850001	78860000
SM_V7_ZW	79800001	79810000
SM_V7_ZW	79810001	79820000
SM_V7_ZW	79820001	79830000
SM_V7_ZW	81240001	81250000
SM_V7_ZW	81250001	81260000
SM_V7_ZW	81260001	81270000
SM_V7_ZW	81270001	81280000
SM_V7_ZW	81570001	81580000
SM_V7_ZW	81580001	81590000
SM_V7_ZW	81590001	81600000
SM_V7_ZW	82790001	82800000
SM_V7_ZW	82800001	82810000
SM_V7_ZW	82810001	82820000
SM_V7_ZW	82850001	82860000
SM_V7_ZW	82860001	82870000
SM_V7_ZW	82870001	82880000
SM_V7_ZW	82880001	82890000
SM_V7_ZW	82890001	82900000
SM_V7_ZW	82900001	82910000
SM_V7_ZW	82910001	82920000
SM_V7_ZW	83220001	83230000
SM_V7_ZW	83230001	83240000
SM_V7_ZW	83240001	83250000
SM_V7_ZW	83510001	83520000
SM_V7_ZW	83520001	83530000
SM_V7_ZW	83530001	83540000
SM_V7_ZW	83600001	83610000
SM_V7_ZW	83610001	83620000
SM_V7_ZW	83620001	83630000
SM_V7_ZW	83630001	83640000
SM_V7_ZW	83640001	83650000
SM_V7_ZW	83650001	83660000
SM_V7_ZW	83660001	83670000
SM_V7_ZW	83670001	83680000
SM_V7_ZW	83680001	83690000
SM_V7_ZW	83690001	83700000
SM_V7_ZW	83700001	83710000
SM_V7_ZW	83710001	83720000
SM_V7_ZW	83720001	83730000
SM_V7_ZW	83730001	83740000
SM_V7_ZW	83740001	83750000
SM_V7_ZW	83750001	83760000
SM_V7_ZW	83760001	83770000
SM_V7_ZW	83770001	83780000
SM_V7_ZW	84580001	84590000
SM_V7_ZW	84590001	84600000
SM_V7_ZW	84600001	84610000
SM_V7_ZW	85460001	85470000
SM_V7_ZW	85470001	85480000
SM_V7_ZW	85480001	85490000
SM_V7_ZW	86810001	86820000
SM_V7_ZW	86820001	86830000
SM_V7_ZW	86830001	86840000
SM_V7_ZW	87010001	87020000
SM_V7_ZW	87020001	87030000
SM_V7_ZW	87030001	87040000
SM_V7_ZW	87040001	87050000
SM_V7_ZW	87280001	87290000
SM_V7_ZW	87290001	87300000
SM_V7_ZW	87300001	87310000
SM_V7_ZW	87310001	87320000
SM_V7_ZW	87320001	87330000
SM_V7_ZW	87330001	87340000
SM_V7_ZW	87340001	87350000
SM_V7_ZW	87350001	87360000
SM_V7_ZW	87520001	87530000
SM_V7_ZW	87530001	87540000
SM_V7_ZW	87540001	87550000
SM_V7_ZW	87550001	87560000
SM_V7_ZW	87560001	87570000
SM_V7_ZW	87570001	87580000
SM_V7_ZW	87580001	87590000
SM_V7_ZW	87630001	87640000
SM_V7_ZW	87640001	87650000
SM_V7_ZW	87650001	87660000
SM_V7_ZW	87660001	87670000
SM_V7_ZW	87670001	87680000
SM_V7_ZW	87680001	87690000
SM_V7_ZW	87690001	87700000
SM_V7_ZW	87700001	87710000
SM_V7_ZW	87710001	87720000
SM_V7_ZW	87720001	87730000
SM_V7_ZW	87730001	87740000
SM_V7_ZW	87740001	87750000
SM_V7_ZW	87750001	87760000
SM_V7_ZW	87790001	87800000
SM_V7_ZW	87800001	87810000
SM_V7_ZW	87810001	87820000
SM_V7_ZW	87860001	87870000
SM_V7_ZW	87870001	87880000
SM_V7_ZW	87880001	87890000
SM_V7_ZW	87920001	87930000
SM_V7_ZW	87930001	87940000
SM_V7_ZW	87940001	87950000
SM_V7_ZW	87950001	87960000
SM_V7_ZW	87960001	87970000
SM_V7_ZW	88040001	88050000
SM_V7_ZW	88050001	88060000
SM_V7_ZW	88060001	88070000
SM_V7_ZW	88070001	88080000
SM_V7_ZW	88080001	88090000
SM_V7_ZW	88210001	88220000
SM_V7_ZW	88220001	88230000
SM_V7_ZW	88230001	88240000
